Player,Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
Iga Swiatek,2025 Indian Wells R32,W vsYastremska,40.5%,50.0%,54.2%,50.0%,55.0%,60.0%,42.9%,53.8%,-,33.3%,47.6%,50.0%,16.7%,44.4%,-,-49
Iga Swiatek,2025 Indian Wells R64,W vsGarcia,31.8%,43.2%,51.9%,35.7%,53.6%,50.0%,28.6%,50.0%,0.0%,30.8%,30.8%,55.6%,0.0%,85.7%,100.0%,122
Iga Swiatek,2025 Dubai QF,L vsAndreeva,13.1%,21.3%,43.1%,14.9%,25.5%,42.5%,42.9%,3.8%,0.0%,8.3%,8.3%,45.5%,33.3%,0.0%,-,-36
Iga Swiatek,2025 Doha SF,L vsOstapenko,22.9%,35.4%,29.4%,24.1%,44.8%,31.8%,38.5%,50.0%,83.3%,25.0%,25.0%,25.0%,0.0%,50.0%,50.0%,87
Iga Swiatek,2025 Doha QF,W vsRybakina,22.2%,30.2%,58.3%,23.3%,32.6%,60.6%,17.6%,50.0%,66.7%,21.1%,26.3%,53.3%,9.1%,50.0%,-,-43
Iga Swiatek,2025 Doha R32,W vsSakkari,21.4%,26.8%,52.4%,21.6%,29.7%,62.1%,50.0%,57.9%,33.3%,23.5%,23.5%,30.8%,12.5%,77.8%,100.0%,-37
Iga Swiatek,2025 Australian Open SF,L vsKeys,21.0%,26.7%,39.5%,24.7%,31.5%,38.2%,26.5%,30.8%,33.3%,16.0%,20.0%,42.9%,10.0%,33.3%,66.7%,25
Iga Swiatek,2025 Australian Open QF,W vsNavarro,11.3%,11.3%,64.4%,17.9%,17.9%,78.3%,73.3%,23.1%,-,4.3%,4.3%,50.0%,10.0%,46.2%,0.0%,-73
Iga Swiatek,2025 Australian Open R16,W vsLys,33.3%,48.7%,70.8%,38.5%,57.7%,68.8%,61.5%,46.2%,-,27.3%,36.4%,75.0%,0.0%,42.9%,100.0%,82
Iga Swiatek,2025 Australian Open R32,W vsRaducanu,31.4%,45.7%,81.0%,33.3%,50.0%,75.0%,10.0%,50.0%,-,37.5%,50.0%,100.0%,0.0%,50.0%,-,195
Iga Swiatek,2025 Australian Open R64,W vsSramkova,16.2%,24.3%,75.9%,27.8%,33.3%,76.9%,33.3%,25.0%,-,5.9%,17.6%,75.0%,11.1%,87.5%,-,-58
Iga Swiatek,2025 Australian Open R128,W vsSiniakova,25.5%,36.4%,58.5%,30.8%,43.6%,70.4%,64.7%,40.9%,0.0%,12.5%,18.8%,35.7%,33.3%,42.9%,-,-104
Iga Swiatek,2025 United Cup F,L vsGauff,22.1%,31.2%,41.8%,27.7%,40.4%,38.2%,66.7%,40.0%,66.7%,16.0%,20.0%,47.6%,33.3%,43.8%,0.0%,35
