Player,Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
Aryna Sabalenka,2024 Beijing R64,W vsSawangkaew,21.9%,42.2%,55.1%,30.0%,52.5%,64.3%,78.3%,76.5%,100.0%,8.7%,26.1%,42.9%,0.0%,77.8%,0.0%,-54
Aryna Sabalenka,2024 US Open F,W vsPegula,22.0%,36.6%,47.5%,32.7%,53.1%,48.5%,43.5%,34.6%,33.3%,7.1%,14.3%,46.2%,21.4%,50.0%,50.0%,-49
Aryna Sabalenka,2024 US Open SF,W vsNavarro,29.0%,46.4%,56.8%,36.2%,59.6%,60.0%,56.5%,37.5%,50.0%,17.6%,23.5%,50.0%,100.0%,14.3%,0.0%,38
Aryna Sabalenka,2024 US Open QF,W vsZheng,31.0%,44.8%,56.8%,39.0%,53.7%,56.0%,78.9%,50.0%,-,14.3%,28.6%,58.3%,50.0%,37.5%,0.0%,17
Aryna Sabalenka,2024 US Open R16,W vsMertens,26.6%,48.4%,59.1%,33.3%,63.9%,62.5%,60.0%,62.5%,66.7%,20.0%,32.0%,55.0%,66.7%,56.3%,33.3%,-14
Aryna Sabalenka,2024 US Open R32,W vsAlexandrova,34.7%,47.2%,46.5%,42.2%,53.3%,46.2%,54.2%,57.1%,66.7%,26.1%,43.5%,47.1%,62.5%,66.7%,50.0%,75
Aryna Sabalenka,2024 US Open R64,W vsBronzetti,46.3%,61.0%,61.9%,56.7%,73.3%,46.2%,62.5%,64.3%,-,20.0%,30.0%,87.5%,0.0%,100.0%,-,6
Aryna Sabalenka,2024 US Open R128,W vsHon,26.7%,45.0%,54.5%,22.2%,47.2%,64.3%,29.4%,42.1%,75.0%,33.3%,41.7%,37.5%,30.0%,71.4%,100.0%,-104
Aryna Sabalenka,2024 Cincinnati F,W vsPegula,60.8%,68.6%,57.9%,70.6%,73.5%,70.0%,33.3%,47.4%,-,43.8%,62.5%,44.4%,55.6%,57.1%,0.0%,-33
Aryna Sabalenka,2024 Cincinnati SF,W vsSwiatek,31.7%,41.3%,42.9%,39.4%,51.5%,45.0%,53.3%,55.6%,100.0%,24.1%,31.0%,40.9%,50.0%,69.2%,100.0%,-64
Aryna Sabalenka,2024 Cincinnati QF,W vsSamsonova,42.0%,46.0%,58.6%,44.1%,50.0%,63.2%,62.5%,61.1%,50.0%,37.5%,37.5%,50.0%,42.9%,55.6%,-,-104
Aryna Sabalenka,2024 Cincinnati R16,W vsSvitolina,29.8%,49.1%,62.2%,34.3%,57.1%,60.9%,68.8%,73.7%,66.7%,26.3%,42.1%,64.3%,75.0%,72.7%,100.0%,61
Aryna Sabalenka,2024 Cincinnati R32,W vsCocciaretto,31.1%,52.5%,66.7%,42.1%,68.4%,81.8%,81.3%,59.1%,100.0%,15.0%,30.0%,47.1%,11.1%,72.7%,-,31
Aryna Sabalenka,2024 Toronto QF,L vsAnisimova,23.3%,28.3%,42.1%,24.2%,33.3%,36.0%,50.0%,47.1%,33.3%,31.6%,31.6%,53.8%,50.0%,36.4%,0.0%,137
Aryna Sabalenka,2024 Toronto R16,W vsBoulter,26.5%,48.5%,60.9%,24.2%,48.5%,60.0%,44.4%,53.3%,0.0%,32.3%,54.8%,61.9%,58.3%,31.6%,25.0%,34
Aryna Sabalenka,2024 Toronto R32,W vsYuan,36.2%,55.3%,50.0%,44.0%,60.0%,57.1%,63.6%,78.6%,50.0%,30.0%,55.0%,42.9%,27.3%,88.9%,100.0%,6
Aryna Sabalenka,2024 Washington SF,L vsBouzkova,31.9%,45.7%,40.0%,32.3%,49.2%,38.6%,61.3%,44.1%,16.7%,36.0%,44.0%,43.8%,50.0%,76.9%,66.7%,62
Aryna Sabalenka,2024 Washington QF,W vsAzarenka,38.9%,51.4%,41.0%,50.0%,70.0%,55.0%,55.6%,63.6%,50.0%,29.6%,33.3%,26.3%,61.5%,64.3%,100.0%,85
Aryna Sabalenka,2024 Washington R16,W vsRakhimova,29.4%,50.5%,55.6%,40.0%,65.5%,57.6%,57.1%,67.6%,62.5%,25.0%,47.5%,53.3%,31.8%,88.9%,100.0%,94
Aryna Sabalenka,2024 Berlin R16,W vsKasatkina,31.3%,50.0%,57.6%,37.0%,48.1%,52.9%,66.7%,50.0%,-,23.8%,52.4%,62.5%,33.3%,73.3%,100.0%,-104
Aryna Sabalenka,2024 Roland Garros QF,L vsAndreeva,19.6%,32.7%,41.3%,22.8%,38.6%,38.6%,69.6%,85.3%,83.3%,18.2%,29.5%,44.4%,33.3%,69.6%,80.0%,41
Aryna Sabalenka,2024 Roland Garros R16,W vsNavarro,32.6%,55.8%,65.5%,42.3%,65.4%,73.3%,40.0%,68.8%,-,17.6%,41.2%,57.1%,14.3%,50.0%,-,-104
Aryna Sabalenka,2024 Roland Garros R32,W vsBadosa,15.7%,29.4%,52.4%,17.1%,37.1%,55.2%,40.0%,65.0%,66.7%,13.3%,13.3%,46.2%,25.0%,71.4%,-,-28
Aryna Sabalenka,2024 Roland Garros R64,W vsUchijima,25.5%,53.2%,65.7%,20.7%,48.3%,69.6%,45.5%,61.1%,100.0%,33.3%,61.1%,58.3%,20.0%,87.5%,-,-104
Aryna Sabalenka,2024 Roland Garros R128,W vsAndreeva,16.0%,38.0%,61.0%,18.8%,46.9%,65.4%,71.4%,66.7%,50.0%,11.8%,23.5%,53.3%,33.3%,72.7%,100.0%,-37
Aryna Sabalenka,2024 Rome F,L vsSwiatek,16.7%,31.5%,41.9%,21.9%,37.5%,44.0%,64.3%,77.8%,100.0%,10.0%,25.0%,38.9%,0.0%,80.0%,100.0%,-14
Aryna Sabalenka,2024 Rome SF,W vsCollins,36.2%,48.3%,51.4%,36.1%,50.0%,60.9%,37.5%,55.0%,100.0%,40.0%,50.0%,33.3%,30.0%,60.0%,-,6
Aryna Sabalenka,2024 Rome QF,W vsOstapenko,34.7%,55.1%,61.3%,35.1%,62.2%,70.8%,50.0%,73.9%,-,36.4%,36.4%,28.6%,40.0%,50.0%,-,-3
Aryna Sabalenka,2024 Rome R16,W vsSvitolina,11.9%,31.4%,49.5%,14.0%,37.2%,51.4%,70.0%,78.3%,63.6%,6.5%,16.1%,44.8%,58.3%,78.9%,100.0%,-66
Aryna Sabalenka,2024 Rome R32,W vsYastremska,44.0%,56.0%,64.0%,45.5%,54.5%,55.6%,50.0%,76.5%,100.0%,50.0%,71.4%,85.7%,50.0%,75.0%,100.0%,109
Aryna Sabalenka,2024 Rome R64,W vsVolynets,21.4%,32.7%,46.6%,22.1%,35.3%,52.8%,24.1%,79.5%,77.8%,23.1%,30.8%,30.0%,28.6%,83.3%,100.0%,57
Aryna Sabalenka,2024 Madrid F,L vsSwiatek,26.3%,40.7%,47.0%,35.3%,52.9%,50.0%,50.0%,50.0%,33.3%,15.2%,26.1%,43.6%,35.3%,75.9%,50.0%,-7
Aryna Sabalenka,2024 Madrid SF,W vsRybakina,23.9%,40.9%,60.3%,32.1%,50.0%,65.8%,37.0%,31.0%,40.0%,10.7%,28.6%,52.0%,36.4%,82.4%,0.0%,-11
Aryna Sabalenka,2024 Madrid QF,W vsAndreeva,19.2%,38.5%,68.3%,24.2%,45.5%,72.0%,70.6%,56.3%,-,11.1%,27.8%,62.5%,33.3%,41.7%,-,-40
Aryna Sabalenka,2024 Madrid R16,W vsCollins,26.4%,42.9%,50.0%,31.7%,50.0%,53.7%,36.7%,66.7%,83.3%,19.2%,34.6%,42.9%,12.5%,72.2%,100.0%,67
Aryna Sabalenka,2024 Madrid R32,W vsMontgomery,29.7%,40.6%,58.2%,30.6%,44.4%,58.0%,73.3%,52.4%,66.7%,32.0%,36.0%,58.8%,66.7%,56.3%,-,62
Aryna Sabalenka,2024 Madrid R64,W vsLinette,24.4%,46.7%,59.7%,32.7%,59.6%,68.6%,48.3%,56.5%,50.0%,15.6%,34.4%,48.1%,46.2%,73.7%,100.0%,33
Aryna Sabalenka,2024 Stuttgart QF,L vsVondrousova,21.8%,34.6%,44.2%,27.9%,44.2%,48.4%,26.3%,41.7%,0.0%,19.2%,30.8%,38.1%,80.0%,36.4%,0.0%,46
Aryna Sabalenka,2024 Stuttgart R16,W vsBadosa,24.5%,40.6%,50.6%,31.4%,48.6%,56.3%,32.3%,56.4%,62.5%,12.1%,27.3%,41.4%,41.7%,61.9%,66.7%,-3
Aryna Sabalenka,2024 Miami R32,L vsKalinina,21.1%,31.6%,42.6%,30.0%,44.0%,45.7%,53.8%,45.8%,66.7%,5.0%,10.0%,36.8%,22.2%,36.4%,50.0%,-74
Aryna Sabalenka,2024 Miami R64,W vsBadosa,35.3%,52.9%,65.5%,41.0%,59.0%,60.9%,43.8%,39.1%,-,25.0%,50.0%,83.3%,50.0%,75.0%,100.0%,73
Aryna Sabalenka,2024 Indian Wells R16,L vsNavarro,27.4%,43.8%,51.0%,31.0%,50.0%,44.8%,60.0%,63.6%,66.7%,25.9%,40.7%,60.0%,61.5%,64.3%,-,52
Aryna Sabalenka,2024 Indian Wells R32,W vsRaducanu,30.7%,46.7%,54.0%,36.2%,57.4%,60.0%,56.0%,63.6%,75.0%,23.1%,30.8%,45.0%,30.0%,87.5%,100.0%,-18
Aryna Sabalenka,2024 Indian Wells R64,W vsStearns,31.2%,41.3%,53.0%,35.3%,48.5%,63.6%,53.8%,61.9%,57.1%,31.3%,37.5%,31.8%,31.3%,56.3%,100.0%,161
Aryna Sabalenka,2024 Dubai R32,L vsVekic,22.0%,33.0%,42.9%,25.0%,38.5%,46.2%,57.1%,54.2%,0.0%,22.6%,32.3%,37.5%,30.0%,81.0%,100.0%,88
Aryna Sabalenka,2024 Australian Open F,W vsZheng,38.6%,47.4%,51.4%,50.0%,63.2%,68.4%,75.0%,72.2%,100.0%,15.8%,15.8%,31.3%,16.7%,100.0%,100.0%,-104
Aryna Sabalenka,2024 Australian Open SF,W vsGauff,22.7%,43.9%,57.1%,26.0%,48.0%,59.5%,73.9%,70.4%,50.0%,14.3%,35.7%,50.0%,57.1%,85.7%,100.0%,25
Aryna Sabalenka,2024 Australian Open QF,W vsKrejcikova,30.0%,47.5%,53.8%,44.0%,64.0%,50.0%,40.0%,60.0%,100.0%,7.7%,23.1%,58.3%,20.0%,66.7%,-,-42
Aryna Sabalenka,2024 Australian Open R16,W vsAnisimova,46.0%,58.0%,57.7%,54.8%,71.0%,71.4%,46.7%,56.3%,-,33.3%,38.9%,41.7%,0.0%,50.0%,100.0%,-40
Aryna Sabalenka,2024 Australian Open R32,W vsTsurenko,35.9%,48.7%,52.0%,44.0%,60.0%,57.1%,100.0%,60.0%,100.0%,21.4%,28.6%,45.5%,28.6%,57.1%,-,-104
Aryna Sabalenka,2024 Australian Open R64,W vsFruhvirtova,16.7%,47.9%,70.3%,19.2%,69.2%,76.2%,45.5%,53.3%,100.0%,15.8%,26.3%,62.5%,22.2%,50.0%,100.0%,38
Aryna Sabalenka,2024 Australian Open R128,W vsSeidel,47.7%,56.8%,47.6%,60.0%,70.0%,50.0%,53.8%,41.2%,-,25.0%,33.3%,44.4%,25.0%,25.0%,-,68
Aryna Sabalenka,2024 Brisbane F,L vsRybakina,15.4%,28.8%,37.2%,18.8%,34.4%,42.3%,47.1%,66.7%,50.0%,10.5%,21.1%,29.4%,14.3%,75.0%,50.0%,-43
Aryna Sabalenka,2024 Brisbane SF,W vsAzarenka,33.3%,60.0%,56.8%,43.6%,69.2%,59.1%,47.6%,61.1%,-,16.7%,50.0%,53.3%,40.0%,76.9%,100.0%,46
Aryna Sabalenka,2024 Brisbane QF,W vsKasatkina,26.2%,47.5%,55.8%,34.2%,63.2%,68.0%,70.6%,42.9%,100.0%,14.3%,23.8%,38.9%,33.3%,88.9%,100.0%,1
Aryna Sabalenka,2024 Brisbane R16,W vsZhu,31.5%,50.0%,51.4%,45.2%,61.3%,58.8%,46.2%,72.2%,100.0%,14.3%,38.1%,44.4%,0.0%,81.8%,50.0%,1
Aryna Sabalenka,2024 Brisbane R32,W vsBronzetti,40.9%,54.5%,60.0%,53.8%,65.4%,58.3%,72.7%,80.0%,100.0%,23.5%,41.2%,61.5%,42.9%,60.0%,-,-37
Aryna Sabalenka,2023 Cancun Finals SF,L vsSwiatek,26.2%,34.4%,46.3%,27.5%,37.5%,58.6%,31.6%,61.9%,60.0%,29.4%,35.3%,16.7%,77.8%,50.0%,50.0%,126
Aryna Sabalenka,2023 Cancun Finals RR,W vsSakkari,29.4%,45.1%,64.5%,34.6%,50.0%,70.6%,45.5%,80.0%,75.0%,30.0%,50.0%,57.1%,33.3%,45.5%,-,137
Aryna Sabalenka,2023 Cancun Finals RR,L vsPegula,19.7%,31.1%,43.2%,15.8%,28.9%,43.8%,41.2%,57.1%,80.0%,33.3%,44.4%,41.7%,40.0%,75.0%,100.0%,158
Aryna Sabalenka,2023 Cancun Finals RR,W vsRybakina,25.5%,36.4%,52.2%,31.3%,44.8%,50.0%,73.7%,41.4%,40.0%,25.0%,35.7%,57.1%,87.5%,35.0%,0.0%,69
Aryna Sabalenka,2023 Beijing QF,L vsRybakina,20.6%,33.8%,52.2%,28.6%,42.9%,60.0%,52.6%,31.3%,16.7%,16.0%,32.0%,42.9%,27.3%,71.4%,100.0%,21
Aryna Sabalenka,2023 Beijing R16,W vsPaolini,36.2%,44.9%,41.5%,52.4%,59.5%,50.0%,35.3%,44.0%,100.0%,12.5%,25.0%,33.3%,66.7%,46.7%,0.0%,9
Aryna Sabalenka,2023 Beijing R32,W vsBoulter,32.0%,45.0%,50.8%,41.0%,54.1%,44.4%,70.4%,67.6%,83.3%,21.9%,37.5%,60.0%,35.7%,88.9%,100.0%,88
Aryna Sabalenka,2023 Beijing R64,W vsKenin,53.8%,66.7%,75.0%,69.6%,78.3%,85.7%,66.7%,54.5%,-,35.7%,57.1%,66.7%,60.0%,66.7%,-,47
Aryna Sabalenka,2023 US Open F,L vsGauff,16.9%,29.9%,48.3%,22.5%,40.0%,54.8%,84.2%,38.1%,25.0%,12.9%,22.6%,40.7%,87.5%,46.7%,50.0%,6
Aryna Sabalenka,2023 US Open SF,W vsKeys,32.7%,43.9%,45.2%,34.4%,43.8%,45.2%,20.8%,40.0%,25.0%,33.3%,50.0%,45.0%,28.6%,56.3%,50.0%,38
Aryna Sabalenka,2023 US Open QF,W vsZheng,40.0%,55.6%,75.0%,46.2%,65.4%,78.6%,80.0%,50.0%,-,37.5%,50.0%,70.0%,37.5%,62.5%,-,87
Aryna Sabalenka,2023 US Open R16,W vsKasatkina,15.0%,45.0%,61.3%,21.7%,52.2%,61.1%,70.0%,69.2%,100.0%,7.1%,42.9%,61.5%,25.0%,100.0%,-,-51
Aryna Sabalenka,2023 US Open R32,W vsBurel,25.0%,43.8%,64.7%,26.7%,43.3%,63.6%,78.6%,50.0%,0.0%,25.0%,50.0%,66.7%,33.3%,100.0%,-,30
Aryna Sabalenka,2023 US Open R64,W vsBurrage,31.6%,49.1%,61.1%,44.8%,69.0%,87.5%,71.4%,53.3%,100.0%,20.0%,32.0%,40.0%,40.0%,60.0%,-,25
Aryna Sabalenka,2023 US Open R128,W vsZanevska,29.3%,44.8%,48.5%,37.2%,55.8%,55.6%,45.0%,73.9%,100.0%,14.3%,28.6%,16.7%,66.7%,75.0%,-,-42
Aryna Sabalenka,2023 Cincinnati SF,L vsMuchova,22.5%,36.3%,50.7%,25.0%,37.5%,45.2%,47.8%,69.7%,66.7%,25.0%,44.4%,59.3%,33.3%,53.3%,42.9%,106
Aryna Sabalenka,2023 Cincinnati QF,W vsJabeur,24.6%,43.5%,47.8%,32.6%,51.2%,48.3%,47.6%,63.6%,80.0%,15.0%,40.0%,47.1%,20.0%,50.0%,100.0%,14
Aryna Sabalenka,2023 Cincinnati R16,W vsKasatkina,27.1%,41.7%,60.6%,29.4%,50.0%,62.5%,56.3%,66.7%,66.7%,25.0%,25.0%,55.6%,0.0%,57.1%,0.0%,68
Aryna Sabalenka,2023 Cincinnati R32,W vsLi,37.8%,50.0%,44.0%,42.6%,57.4%,44.4%,50.0%,48.0%,0.0%,37.8%,48.6%,43.5%,5.6%,84.2%,0.0%,64
Aryna Sabalenka,2023 Montreal R32,W vsMartic,31.8%,45.5%,50.0%,46.7%,60.0%,54.2%,63.6%,43.5%,50.0%,20.0%,37.1%,46.4%,38.5%,72.7%,66.7%,69
Aryna Sabalenka,2023 Wimbledon SF,L vsJabeur,30.0%,48.3%,50.6%,35.1%,55.8%,56.0%,62.5%,45.9%,66.7%,23.7%,39.5%,41.4%,71.4%,45.8%,33.3%,36
Aryna Sabalenka,2023 Wimbledon QF,W vsKeys,27.0%,49.2%,54.5%,35.1%,56.8%,62.5%,47.4%,61.1%,0.0%,16.7%,41.7%,45.0%,25.0%,75.0%,50.0%,-11
Aryna Sabalenka,2023 Wimbledon R16,W vsAlexandrova,39.1%,54.3%,53.6%,41.9%,61.3%,61.1%,66.7%,47.4%,-,33.3%,40.0%,40.0%,57.1%,62.5%,-,-104
Aryna Sabalenka,2023 Wimbledon R32,W vsBlinkova,27.4%,43.8%,48.9%,34.8%,54.3%,46.7%,40.0%,19.2%,0.0%,21.1%,36.8%,53.3%,11.1%,90.0%,100.0%,52
Aryna Sabalenka,2023 Wimbledon R64,W vsGracheva,40.3%,52.8%,48.6%,57.8%,73.3%,63.2%,68.2%,65.2%,0.0%,14.3%,23.8%,33.3%,85.7%,64.3%,100.0%,9
Aryna Sabalenka,2023 Wimbledon R128,W vsUdvardy,34.9%,62.8%,69.2%,46.2%,76.9%,64.3%,72.7%,46.7%,100.0%,20.0%,46.7%,75.0%,100.0%,30.0%,-,38
Aryna Sabalenka,2023 Berlin R16,L vsKudermetova,38.1%,44.4%,37.8%,50.0%,55.3%,47.4%,36.8%,57.9%,-,21.7%,30.4%,27.8%,12.5%,80.0%,100.0%,-7
Aryna Sabalenka,2023 Berlin R32,W vsZvonareva,40.9%,63.6%,72.0%,48.3%,69.0%,80.0%,40.0%,50.0%,-,28.6%,57.1%,60.0%,25.0%,70.0%,-,-23
Aryna Sabalenka,2023 Roland Garros SF,L vsMuchova,20.2%,32.5%,52.9%,25.0%,38.2%,54.4%,69.7%,69.8%,100.0%,12.5%,25.0%,50.0%,40.0%,52.9%,-,2
Aryna Sabalenka,2023 Roland Garros QF,W vsSvitolina,19.7%,34.4%,63.0%,22.2%,36.1%,53.6%,92.3%,56.5%,0.0%,18.2%,36.4%,77.8%,41.7%,60.0%,-,41
Aryna Sabalenka,2023 Roland Garros R16,W vsStephens,27.0%,44.4%,54.5%,35.9%,51.3%,64.0%,26.3%,60.0%,-,13.6%,36.4%,42.1%,12.5%,78.6%,50.0%,-3
Aryna Sabalenka,2023 Roland Garros R32,W vsRakhimova,29.4%,47.1%,60.0%,37.8%,56.8%,69.6%,68.4%,66.7%,-,7.7%,23.1%,41.7%,66.7%,90.0%,100.0%,-36
Aryna Sabalenka,2023 Roland Garros R64,W vsShymanovich,32.7%,50.9%,57.1%,41.0%,64.1%,73.9%,37.5%,73.9%,50.0%,14.3%,21.4%,25.0%,42.9%,85.7%,100.0%,25
Aryna Sabalenka,2023 Roland Garros R128,W vsKostyuk,29.8%,43.9%,56.8%,32.5%,50.0%,59.3%,36.8%,66.7%,0.0%,28.6%,35.7%,50.0%,20.0%,66.7%,66.7%,109
Aryna Sabalenka,2023 Rome R64,L vsKenin,29.0%,42.0%,39.1%,38.1%,52.4%,50.0%,56.3%,61.5%,62.5%,16.7%,29.2%,25.0%,30.8%,72.7%,-,-11
Aryna Sabalenka,2023 Madrid F,W vsSwiatek,22.3%,38.3%,51.4%,25.0%,42.9%,50.0%,15.4%,66.7%,66.7%,20.0%,34.3%,53.6%,6.3%,78.9%,100.0%,-9
Aryna Sabalenka,2023 Madrid SF,W vsSakkari,33.9%,45.8%,50.0%,39.0%,51.2%,52.0%,47.4%,63.6%,0.0%,26.7%,40.0%,45.5%,14.3%,37.5%,0.0%,97
Aryna Sabalenka,2023 Madrid QF,W vsSherif,14.6%,32.6%,55.2%,19.1%,40.4%,60.5%,47.8%,66.7%,50.0%,12.1%,30.3%,48.3%,33.3%,71.4%,66.7%,-6
Aryna Sabalenka,2023 Madrid R16,W vsAndreeva,26.7%,46.7%,57.6%,29.2%,45.8%,52.9%,57.1%,50.0%,-,23.8%,47.6%,62.5%,28.6%,50.0%,50.0%,-104
Aryna Sabalenka,2023 Madrid R32,W vsOsorio,26.1%,40.6%,45.8%,26.2%,47.6%,48.4%,45.0%,68.2%,66.7%,29.2%,33.3%,41.2%,20.0%,85.7%,100.0%,30
Aryna Sabalenka,2023 Madrid R64,W vsCirstea,40.6%,50.0%,36.1%,43.5%,52.2%,38.5%,54.2%,68.2%,60.0%,37.5%,50.0%,30.0%,0.0%,70.0%,100.0%,30
Aryna Sabalenka,2023 Stuttgart F,L vsSwiatek,22.5%,40.8%,47.2%,30.6%,51.0%,52.9%,50.0%,72.0%,66.7%,5.0%,20.0%,36.8%,37.5%,50.0%,0.0%,-66
Aryna Sabalenka,2023 Stuttgart SF,W vsPotapova,31.4%,52.9%,60.6%,33.3%,57.6%,63.6%,55.6%,46.7%,0.0%,31.3%,50.0%,54.5%,16.7%,60.0%,0.0%,30
Aryna Sabalenka,2023 Stuttgart QF,W vsBadosa,28.3%,40.2%,47.5%,38.6%,50.9%,45.7%,36.0%,56.3%,100.0%,13.3%,26.7%,50.0%,20.0%,80.0%,100.0%,13
Aryna Sabalenka,2023 Stuttgart R16,W vsKrejcikova,47.1%,64.7%,57.7%,57.6%,78.8%,71.4%,66.7%,53.3%,-,29.4%,41.2%,41.7%,20.0%,66.7%,-,-37
Aryna Sabalenka,2023 Miami QF,L vsCirstea,35.1%,49.1%,41.9%,40.0%,60.0%,47.6%,50.0%,89.5%,50.0%,37.5%,43.8%,30.0%,37.5%,75.0%,100.0%,195
Aryna Sabalenka,2023 Miami R16,W vsKrejcikova,46.8%,59.6%,62.5%,54.5%,69.7%,73.3%,66.7%,50.0%,-,30.8%,38.5%,44.4%,20.0%,50.0%,0.0%,-18
Aryna Sabalenka,2023 Miami R32,W vsBouzkova,29.5%,61.4%,67.7%,30.0%,70.0%,76.2%,61.5%,64.7%,-,28.6%,42.9%,50.0%,42.9%,71.4%,-,-104
Aryna Sabalenka,2023 Miami R64,W vsRogers,32.0%,52.0%,62.5%,48.3%,69.0%,73.3%,46.7%,78.6%,-,10.5%,31.6%,52.9%,25.0%,72.7%,50.0%,-9
Aryna Sabalenka,2023 Indian Wells F,L vsRybakina,30.3%,41.6%,42.3%,41.1%,55.4%,45.5%,44.4%,27.6%,0.0%,17.4%,26.1%,36.8%,14.3%,56.3%,66.7%,21
Aryna Sabalenka,2023 Indian Wells SF,W vsSakkari,30.9%,43.6%,54.5%,43.8%,59.4%,55.6%,60.0%,70.6%,100.0%,16.7%,27.8%,53.3%,12.5%,50.0%,50.0%,31
Aryna Sabalenka,2023 Indian Wells QF,W vsGauff,48.8%,65.9%,57.1%,53.3%,73.3%,71.4%,91.7%,66.7%,-,36.4%,45.5%,28.6%,40.0%,83.3%,-,-104
Aryna Sabalenka,2023 Indian Wells R16,W vsKrejcikova,40.5%,50.0%,37.0%,50.9%,64.2%,46.2%,59.1%,51.6%,0.0%,25.9%,29.6%,25.0%,18.2%,81.3%,100.0%,52
Aryna Sabalenka,2023 Indian Wells R64,W vsRodina,26.0%,52.0%,57.1%,33.3%,66.7%,70.0%,86.7%,46.7%,50.0%,16.7%,33.3%,40.0%,50.0%,75.0%,100.0%,17
Aryna Sabalenka,2023 Dubai QF,L vsKrejcikova,37.1%,44.3%,43.6%,54.1%,62.2%,47.1%,66.7%,40.9%,0.0%,21.4%,28.6%,40.9%,57.1%,35.7%,50.0%,79
Aryna Sabalenka,2023 Dubai R16,W vsOstapenko,35.4%,40.0%,42.5%,41.0%,46.2%,47.8%,40.9%,41.2%,-,29.2%,33.3%,35.3%,42.9%,41.2%,0.0%,-11
Aryna Sabalenka,2023 Dubai R32,W vsDavis,36.6%,53.7%,62.5%,53.8%,76.9%,75.0%,63.6%,46.7%,100.0%,7.7%,15.4%,50.0%,33.3%,42.9%,-,-42
Aryna Sabalenka,2023 Australian Open F,W vsRybakina,29.6%,46.3%,52.2%,35.7%,51.4%,55.6%,48.6%,31.4%,33.3%,22.6%,45.2%,45.8%,80.0%,47.6%,100.0%,93
Aryna Sabalenka,2023 Australian Open SF,W vsLinette,24.2%,43.5%,60.0%,32.4%,48.6%,56.0%,56.3%,71.4%,100.0%,13.0%,39.1%,65.0%,66.7%,63.6%,0.0%,-7
Aryna Sabalenka,2023 Australian Open QF,W vsVekic,25.6%,38.5%,47.9%,40.9%,54.5%,50.0%,38.1%,47.8%,16.7%,8.3%,25.0%,45.5%,41.7%,66.7%,40.0%,-49
Aryna Sabalenka,2023 Australian Open R16,W vsBencic,37.0%,55.6%,63.3%,43.8%,65.6%,61.1%,40.0%,58.8%,100.0%,33.3%,50.0%,66.7%,50.0%,41.7%,-,115
Aryna Sabalenka,2023 Australian Open R32,W vsMertens,34.0%,48.0%,62.1%,46.4%,64.3%,53.3%,43.8%,33.3%,0.0%,22.2%,33.3%,71.4%,60.0%,53.8%,100.0%,90
Aryna Sabalenka,2023 Australian Open R64,W vsRogers,40.8%,51.0%,48.3%,48.4%,58.1%,50.0%,26.7%,56.3%,100.0%,27.8%,38.9%,46.2%,33.3%,66.7%,100.0%,-104
Aryna Sabalenka,2023 Australian Open R128,W vsMartincova,29.1%,41.8%,63.9%,41.9%,51.6%,77.8%,56.3%,60.0%,50.0%,14.3%,33.3%,50.0%,60.0%,62.5%,50.0%,25
Aryna Sabalenka,2023 Adelaide 1 F,W vsNoskova,42.5%,54.8%,60.0%,77.4%,90.3%,71.4%,27.3%,65.0%,0.0%,20.0%,34.3%,57.1%,30.8%,63.6%,0.0%,73
Aryna Sabalenka,2023 Adelaide 1 SF,W vsBegu,45.5%,54.5%,52.0%,54.8%,64.5%,57.1%,30.8%,66.7%,0.0%,42.1%,52.6%,45.5%,50.0%,77.8%,0.0%,147
Aryna Sabalenka,2023 Adelaide 1 QF,W vsVondrousova,21.9%,42.5%,56.6%,27.3%,52.3%,62.5%,37.5%,25.0%,33.3%,16.0%,32.0%,47.6%,77.8%,43.8%,50.0%,40
Aryna Sabalenka,2023 Adelaide 1 R16,W vsSamsonova,30.2%,44.8%,49.2%,30.9%,45.6%,44.7%,50.0%,73.7%,57.1%,36.4%,54.5%,64.3%,87.5%,100.0%,100.0%,154
Aryna Sabalenka,2022 Fort Worth Finals F,L vsGarcia,41.9%,51.6%,51.5%,45.5%,54.5%,38.9%,75.0%,61.9%,-,42.3%,53.8%,66.7%,61.5%,61.5%,-,21
Aryna Sabalenka,2022 Fort Worth Finals SF,W vsSwiatek,39.2%,44.6%,36.1%,54.5%,61.4%,30.0%,60.0%,41.7%,0.0%,23.8%,28.6%,43.8%,83.3%,55.6%,0.0%,73
Aryna Sabalenka,2022 Fort Worth Finals RR,L vsSakkari,14.0%,24.6%,42.2%,15.8%,26.3%,43.8%,45.5%,62.5%,100.0%,13.3%,26.7%,38.5%,40.0%,40.0%,33.3%,2
Aryna Sabalenka,2022 Fort Worth Finals RR,W vsPegula,26.7%,41.7%,63.9%,31.4%,57.1%,70.8%,60.0%,35.0%,50.0%,29.4%,29.4%,50.0%,42.9%,50.0%,50.0%,111
Aryna Sabalenka,2022 Fort Worth Finals RR,W vsJabeur,21.8%,36.1%,46.0%,25.0%,44.4%,46.3%,68.4%,67.6%,0.0%,19.5%,26.8%,45.5%,53.8%,64.3%,80.0%,50
