Player,Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
Aryna Sabalenka,2021 US Open R16,W vsMertens,70.5%,71.0%,4.5%,1/1,2.42,25.7%,60.7%,64.7%,3.6%,2.34,45.0%,93.3%,78.6%,6.7%,2.53,0.0%
Aryna Sabalenka,2021 US Open R32,W vsCollins,70.4%,57.9%,2.5%,2/0,2.69,16.1%,69.2%,48.1%,2.6%,2.93,22.2%,81.1%,66.7%,2.7%,2.37,7.7%
Aryna Sabalenka,2021 US Open R64,W vsZidansek,71.2%,62.2%,1.9%,1/0,2.21,17.4%,79.4%,59.3%,0.0%,2.28,12.5%,71.4%,70.0%,7.1%,2.06,28.6%
Aryna Sabalenka,2021 US Open R128,W vsStojanovic,74.7%,63.5%,4.0%,3/1,2.73,11.8%,81.4%,60.4%,3.4%,2.44,22.2%,72.2%,69.2%,5.6%,3.08,0.0%
Aryna Sabalenka,2021 Cincinnati R32,L vsBadosa,62.4%,52.9%,3.7%,3/1,2.16,9.7%,64.7%,47.7%,4.4%,2.21,13.9%,66.7%,62.5%,2.8%,2.08,3.8%
Aryna Sabalenka,2021 Montreal SF,L vsPliskova,53.8%,50.0%,0.0%,0/0,2.66,9.5%,48.6%,44.4%,0.0%,2.47,18.2%,76.9%,60.0%,0.0%,2.87,0.0%
Aryna Sabalenka,2021 Montreal QF,W vsAzarenka,66.7%,66.7%,3.7%,0/2,2.19,11.8%,65.5%,63.2%,3.4%,1.96,14.3%,73.9%,70.6%,4.3%,2.58,7.7%
Aryna Sabalenka,2021 Montreal R16,W vsMarino,64.4%,62.1%,11.1%,3/2,2.49,4.8%,60.9%,64.3%,17.4%,2.41,9.1%,83.3%,60.0%,5.6%,2.58,0.0%
Aryna Sabalenka,2021 Montreal R32,W vsStephens,77.0%,45.5%,3.0%,1/2,2.36,38.6%,74.3%,44.2%,4.3%,2.30,52.9%,83.3%,48.0%,0.0%,2.45,17.4%
Aryna Sabalenka,2021 Tokyo Olympics R32,L vsVekic,60.2%,56.8%,4.9%,2/4,2.60,9.5%,65.2%,53.3%,2.9%,2.48,13.3%,61.7%,62.1%,8.5%,2.70,6.1%
Aryna Sabalenka,2021 Tokyo Olympics R64,W vsLinette,68.9%,71.4%,3.3%,1/1,2.09,0.0%,75.7%,67.9%,2.7%,1.89,0.0%,70.0%,78.6%,5.0%,2.34,0.0%
Aryna Sabalenka,2021 Wimbledon SF,L vsPliskova,53.0%,38.6%,14.5%,7/5,2.49,7.3%,57.4%,38.7%,13.0%,2.57,11.4%,52.0%,38.5%,20.0%,2.36,0.0%
Aryna Sabalenka,2021 Wimbledon QF,W vsJabeur,63.1%,61.0%,4.6%,1/2,2.41,30.0%,57.1%,45.8%,2.4%,2.45,41.7%,81.0%,82.4%,9.5%,2.34,12.5%
Aryna Sabalenka,2021 Wimbledon R16,W vsRybakina,60.9%,62.3%,5.7%,4/1,2.64,11.9%,59.2%,44.8%,6.1%,2.45,23.3%,77.4%,83.3%,6.5%,2.85,0.0%
Aryna Sabalenka,2021 Wimbledon R32,W vsOsorio,71.7%,68.4%,3.8%,1/1,2.66,35.0%,77.1%,66.7%,5.7%,2.46,47.6%,91.7%,72.7%,0.0%,2.88,21.1%
Aryna Sabalenka,2021 Wimbledon R64,W vsBoulter,71.7%,59.1%,4.3%,4/0,2.80,25.0%,68.4%,64.1%,5.3%,2.72,40.7%,81.8%,51.9%,3.0%,2.94,0.0%
Aryna Sabalenka,2021 Wimbledon R128,W vsNiculescu,81.4%,70.8%,1.7%,1/0,2.46,75.0%,84.9%,71.1%,1.9%,2.68,78.9%,50.0%,66.7%,0.0%,2.21,70.6%
Aryna Sabalenka,2021 Eastbourne QF,L vsGiorgi,61.3%,57.9%,7.5%,3/4,2.65,5.8%,57.1%,58.3%,11.9%,2.42,6.3%,82.5%,57.6%,5.0%,3.02,5.0%
Aryna Sabalenka,2021 Eastbourne R16,W vsRiske Amritraj,58.3%,71.4%,4.2%,1/1,2.67,3.2%,63.3%,78.9%,0.0%,2.44,9.1%,60.0%,55.6%,13.3%,2.80,0.0%
Aryna Sabalenka,2021 Eastbourne R32,W vsPera,63.5%,48.5%,3.8%,1/1,2.56,31.0%,63.6%,47.6%,3.0%,2.41,47.1%,80.0%,50.0%,6.7%,2.77,8.3%
Aryna Sabalenka,2021 Berlin R16,L vsKeys,59.0%,58.7%,12.8%,6/4,2.79,16.1%,53.7%,51.7%,13.0%,2.85,20.6%,77.3%,70.6%,13.6%,2.70,9.1%
Aryna Sabalenka,2021 Roland Garros R32,L vsPavlyuchenkova,74.3%,54.5%,8.1%,4/2,2.35,9.1%,75.0%,52.8%,0.0%,2.22,11.5%,79.2%,57.9%,25.0%,2.53,5.6%
Aryna Sabalenka,2021 Roland Garros R64,W vsSasnovich,83.1%,65.3%,6.8%,2/2,2.41,6.8%,94.6%,65.7%,5.4%,2.40,11.1%,82.4%,64.3%,11.8%,2.42,0.0%
Aryna Sabalenka,2021 Roland Garros R128,W vsKonjuh,69.6%,62.5%,5.8%,2/2,2.36,19.4%,73.3%,60.6%,4.4%,2.26,24.0%,88.2%,66.7%,11.8%,2.59,9.1%
Aryna Sabalenka,2021 Rome R16,L vsGauff,67.8%,45.0%,1.7%,1/0,2.46,3.6%,66.7%,41.7%,2.8%,2.01,7.7%,69.6%,50.0%,0.0%,2.86,0.0%
Aryna Sabalenka,2021 Rome R32,W vsSorribes Tormo,80.8%,59.5%,1.9%,0/1,2.27,11.1%,82.6%,60.5%,2.2%,2.43,17.1%,66.7%,50.0%,0.0%,2.06,3.6%
Aryna Sabalenka,2021 Madrid F,W vsBarty,73.2%,55.8%,2.8%,2/0,2.28,59.6%,75.5%,51.4%,0.0%,2.12,54.3%,75.0%,66.7%,10.0%,2.53,68.2%
Aryna Sabalenka,2021 Madrid SF,W vsPavlyuchenkova,71.1%,59.4%,2.2%,1/0,2.29,15.6%,82.8%,66.7%,3.4%,2.15,26.3%,61.5%,37.5%,0.0%,2.50,0.0%
Aryna Sabalenka,2021 Madrid R16,W vsPegula,70.7%,72.4%,2.4%,1/0,2.70,15.0%,64.0%,68.8%,0.0%,2.64,21.4%,86.7%,76.9%,6.7%,2.85,0.0%
Aryna Sabalenka,2021 Madrid R32,W vsKasatkina,74.6%,63.8%,4.8%,2/1,2.57,4.1%,78.0%,65.6%,4.9%,2.55,7.1%,75.0%,60.0%,5.0%,2.60,0.0%
Aryna Sabalenka,2021 Madrid R64,W vsZvonareva,84.1%,64.9%,0.0%,0/0,2.53,7.5%,90.6%,62.1%,0.0%,2.51,13.6%,88.9%,75.0%,0.0%,2.56,0.0%
Aryna Sabalenka,2021 Stuttgart F,L vsBarty,63.5%,48.1%,4.7%,4/0,2.44,42.9%,63.0%,44.1%,5.6%,2.51,50.0%,74.1%,55.0%,3.7%,2.31,27.8%
Aryna Sabalenka,2021 Stuttgart SF,W vsHalep,68.8%,56.8%,1.6%,1/0,2.24,3.1%,77.3%,55.9%,2.3%,2.08,4.3%,66.7%,60.0%,0.0%,2.64,0.0%
Aryna Sabalenka,2021 Stuttgart QF,W vsKontaveit,76.5%,52.0%,7.1%,6/1,2.38,11.0%,77.8%,38.1%,9.3%,2.46,16.7%,80.5%,69.7%,4.9%,2.27,2.9%
Aryna Sabalenka,2021 Stuttgart R16,W vsFriedsam,69.5%,61.0%,8.5%,2/3,2.34,25.0%,62.2%,60.9%,8.1%,2.41,32.0%,90.0%,61.1%,10.0%,2.21,13.3%
Aryna Sabalenka,2021 Stuttgart R32,W vsZhang,73.2%,63.4%,1.8%,1/0,2.38,3.2%,72.5%,55.2%,0.0%,2.13,7.1%,80.0%,83.3%,6.7%,2.58,0.0%
Aryna Sabalenka,2021 Miami QF,L vsBarty,63.8%,41.8%,3.8%,4/0,2.25,25.8%,63.2%,41.9%,1.5%,2.22,33.3%,68.6%,41.7%,8.6%,2.30,13.0%
Aryna Sabalenka,2021 Miami R16,W vsVondrousova,72.5%,62.2%,3.9%,2/0,2.14,42.4%,72.4%,76.2%,3.4%,1.85,54.2%,84.2%,43.8%,5.3%,2.91,11.1%
Aryna Sabalenka,2021 Miami R32,W vsKudermetova,69.2%,51.9%,3.8%,2/1,2.75,6.9%,68.9%,38.7%,2.2%,2.70,11.1%,74.2%,69.6%,6.5%,2.84,0.0%
Aryna Sabalenka,2021 Miami R64,W vsPironkova,81.1%,52.1%,3.3%,2/1,2.38,4.8%,83.6%,41.3%,1.8%,2.58,0.0%,81.8%,70.4%,6.1%,2.11,11.1%
Aryna Sabalenka,2021 Dubai QF,L vsMuguruza,62.2%,45.7%,10.8%,6/2,2.73,9.0%,63.6%,32.1%,4.5%,2.74,13.2%,69.2%,66.7%,23.1%,2.72,3.4%
Aryna Sabalenka,2021 Dubai R16,W vsKontaveit,65.3%,56.3%,2.0%,1/0,2.50,14.8%,67.7%,57.1%,3.2%,2.26,21.1%,73.3%,54.5%,0.0%,3.06,0.0%
Aryna Sabalenka,2021 Dubai R32,W vsCornet,77.5%,65.5%,1.4%,0/0,2.55,5.6%,88.9%,60.0%,2.2%,2.56,9.5%,71.4%,80.0%,0.0%,2.53,0.0%
Aryna Sabalenka,2021 Doha R16,L vsMuguruza,68.3%,54.9%,9.6%,6/4,2.76,3.5%,67.5%,51.9%,6.5%,2.72,5.9%,76.0%,63.2%,20.0%,2.83,0.0%
Aryna Sabalenka,2021 Australian Open R16,L vsWilliams,61.6%,52.5%,2.0%,1/1,2.69,0.0%,54.9%,39.3%,2.0%,2.71,0.0%,82.5%,63.6%,2.5%,2.65,0.0%
Aryna Sabalenka,2021 Australian Open R32,W vsLi,78.9%,64.4%,1.8%,1/0,2.35,29.0%,78.4%,55.2%,0.0%,2.15,47.4%,80.0%,81.3%,5.0%,2.68,0.0%
Aryna Sabalenka,2021 Australian Open R64,W vsKasatkina,69.2%,60.0%,3.1%,0/2,2.58,14.6%,66.7%,60.7%,4.8%,2.71,26.1%,85.0%,58.8%,0.0%,2.40,0.0%
Aryna Sabalenka,2021 Australian Open R128,W vsHruncakova,76.4%,71.4%,9.1%,0/5,2.42,7.1%,75.7%,71.4%,8.1%,2.14,15.4%,87.5%,71.4%,12.5%,2.66,0.0%
Aryna Sabalenka,2021 Gippsland Trophy R32,L vsKanepi,72.6%,58.0%,3.2%,3/0,2.64,8.9%,64.6%,54.8%,6.3%,2.59,16.0%,86.4%,60.5%,0.0%,2.72,0.0%
Aryna Sabalenka,2021 Abu Dhabi F,W vsKudermetova,72.2%,79.5%,5.6%,3/0,2.68,0.0%,63.3%,68.4%,6.7%,2.74,0.0%,90.9%,90.0%,4.5%,2.64,0.0%
Aryna Sabalenka,2021 Abu Dhabi SF,W vsSakkari,62.0%,71.0%,4.0%,2/0,2.60,8.3%,67.7%,61.9%,6.5%,2.48,15.4%,71.4%,90.0%,0.0%,2.75,0.0%
Aryna Sabalenka,2021 Abu Dhabi QF,W vsRybakina,59.5%,53.2%,3.8%,1/2,2.60,7.9%,53.5%,60.9%,4.7%,2.61,10.3%,72.7%,45.8%,3.0%,2.58,4.2%
Aryna Sabalenka,2021 Abu Dhabi R16,W vsJabeur,67.2%,69.2%,0.0%,0/0,2.31,31.0%,66.7%,72.2%,0.0%,1.99,47.1%,75.0%,66.7%,0.0%,2.77,8.3%
Aryna Sabalenka,2021 Abu Dhabi R32,W vsTomljanovic,72.9%,64.5%,8.2%,2/5,2.51,28.6%,73.8%,60.0%,3.3%,2.43,41.7%,89.5%,76.5%,26.3%,2.68,0.0%
Aryna Sabalenka,2021 Abu Dhabi R64,W vsHercog,72.0%,61.1%,4.0%,3/0,2.68,6.8%,75.8%,64.0%,6.1%,2.65,13.6%,78.4%,58.6%,2.7%,2.71,0.0%
Aryna Sabalenka,2020 Linz F,W vsMertens,74.6%,64.2%,5.6%,3/1,2.74,27.7%,77.8%,51.4%,2.2%,2.92,30.0%,78.3%,88.9%,13.0%,2.42,23.5%
Aryna Sabalenka,2020 Linz SF,W vsKrejcikova,60.4%,57.8%,1.9%,1/1,2.31,4.3%,59.7%,45.0%,3.0%,2.38,6.3%,72.7%,79.2%,0.0%,2.19,0.0%
Aryna Sabalenka,2020 Linz R16,W vsVoegele,75.0%,59.0%,5.8%,1/2,2.39,21.1%,78.6%,45.5%,7.1%,2.46,30.8%,85.0%,76.5%,5.0%,2.23,0.0%
Aryna Sabalenka,2020 Linz R32,W vsPaolini,76.3%,59.0%,5.0%,3/1,2.70,2.7%,78.8%,61.0%,0.0%,2.71,4.8%,76.9%,55.0%,15.4%,2.68,0.0%
Aryna Sabalenka,2020 Ostrava F,W vsAzarenka,83.3%,62.5%,12.5%,6/0,2.28,19.4%,87.9%,58.6%,6.1%,2.35,31.8%,84.6%,72.7%,30.8%,2.17,0.0%
Aryna Sabalenka,2020 Ostrava SF,W vsBrady,72.2%,51.3%,0.0%,0/0,2.54,5.3%,67.9%,36.8%,0.0%,2.43,8.0%,80.0%,65.0%,0.0%,2.76,0.0%
Aryna Sabalenka,2020 Ostrava QF,W vsSorribes Tormo,85.5%,54.9%,3.6%,2/1,2.07,14.0%,89.5%,51.0%,5.3%,2.09,18.9%,87.0%,65.0%,0.0%,2.04,5.0%
Aryna Sabalenka,2020 Ostrava R16,W vsGauff,67.8%,49.2%,1.1%,0/1,2.24,11.1%,67.7%,54.5%,1.5%,2.26,17.4%,94.4%,35.3%,0.0%,2.20,0.0%
Aryna Sabalenka,2020 Roland Garros R32,L vsJabeur,72.0%,55.6%,10.0%,4/6,2.34,39.5%,63.0%,52.9%,3.7%,2.46,60.5%,84.4%,57.9%,17.8%,2.17,12.1%
Aryna Sabalenka,2020 Roland Garros R64,W vsKasatkina,86.6%,67.2%,1.5%,1/0,2.29,8.8%,86.0%,60.5%,0.0%,2.33,16.1%,100.0%,86.7%,6.7%,2.24,0.0%
Aryna Sabalenka,2020 Roland Garros R128,W vsPegula,80.4%,62.2%,3.6%,2/0,2.30,2.4%,84.4%,66.7%,3.1%,2.41,3.4%,85.7%,55.6%,4.8%,2.03,0.0%
Aryna Sabalenka,2020 Strasbourg SF,L vsSvitolina,77.1%,46.9%,1.2%,1/0,2.68,0.0%,77.8%,37.1%,0.0%,2.39,0.0%,80.6%,58.6%,2.8%,3.10,0.0%
Aryna Sabalenka,2020 Strasbourg QF,W vsSiniakova,84.1%,56.5%,2.4%,0/2,2.30,15.7%,82.5%,57.4%,3.5%,2.29,18.5%,91.7%,54.5%,0.0%,2.32,6.3%
Aryna Sabalenka,2020 Strasbourg R16,W vsBlinkova,70.6%,48.3%,4.7%,3/1,2.44,3.5%,75.5%,43.2%,6.1%,2.48,5.1%,79.3%,56.5%,3.4%,2.33,0.0%
Aryna Sabalenka,2020 Strasbourg R32,W vsPerez,59.6%,53.6%,10.6%,3/2,2.24,0.0%,80.0%,62.5%,15.0%,2.41,0.0%,57.1%,41.7%,9.5%,1.99,0.0%
Aryna Sabalenka,2020 US Open R64,L vsAzarenka,76.0%,44.7%,4.0%,2/0,2.69,8.8%,72.2%,30.8%,2.8%,2.84,12.0%,85.7%,75.0%,7.1%,2.27,0.0%
Aryna Sabalenka,2020 US Open R128,W vsDodin,59.3%,47.9%,2.5%,1/1,2.44,8.3%,63.4%,38.5%,0.0%,2.76,22.2%,73.3%,59.1%,6.7%,2.25,0.0%
Aryna Sabalenka,2020 Cincinnati R16,L vsPegula,75.8%,52.0%,3.0%,3/0,2.60,6.3%,75.4%,47.8%,3.3%,2.54,9.5%,85.3%,58.6%,2.9%,2.71,0.0%
Aryna Sabalenka,2020 Cincinnati R32,W vsBellis,59.4%,55.6%,3.8%,3/1,2.90,11.9%,65.2%,55.6%,2.9%,3.16,23.5%,58.1%,55.6%,6.5%,2.63,0.0%
Aryna Sabalenka,2020 Lexington R16,L vsGauff,68.0%,54.3%,1.0%,1/0,2.17,18.8%,71.9%,51.2%,0.0%,2.36,41.4%,82.9%,58.6%,2.9%,2.04,2.5%
Aryna Sabalenka,2020 Lexington R32,W vsBrengle,65.5%,61.8%,2.4%,0/2,2.33,44.9%,70.9%,61.5%,3.6%,2.24,66.0%,76.2%,62.5%,0.0%,2.44,21.4%
Aryna Sabalenka,2020 Doha F,W vsKvitova,75.5%,60.0%,7.5%,3/1,2.77,7.7%,77.1%,70.4%,5.7%,2.64,9.7%,76.5%,38.5%,11.8%,3.28,0.0%
Aryna Sabalenka,2020 Doha SF,W vsKuznetsova,87.7%,56.0%,1.8%,1/0,2.34,10.3%,84.1%,59.5%,0.0%,2.35,13.8%,100.0%,46.2%,7.7%,2.31,0.0%
Aryna Sabalenka,2020 Doha QF,W vsZheng,84.9%,49.4%,2.2%,0/2,2.28,16.7%,86.7%,49.2%,1.3%,2.33,21.8%,87.5%,50.0%,6.3%,2.15,4.3%
Aryna Sabalenka,2020 Doha R16,W vsSakkari,80.0%,75.0%,0.0%,0/0,2.26,11.4%,79.2%,73.7%,0.0%,2.06,22.2%,90.0%,77.8%,0.0%,2.46,0.0%
Aryna Sabalenka,2020 Doha R32,W vsKontaveit,73.0%,58.0%,1.8%,1/1,2.60,4.9%,73.4%,55.2%,1.3%,2.61,7.3%,76.7%,65.2%,3.3%,2.57,0.0%
Aryna Sabalenka,2020 Dubai QF,L vsHalep,72.5%,54.0%,4.3%,3/0,2.69,0.0%,74.0%,56.8%,2.0%,2.68,0.0%,68.4%,46.2%,10.5%,2.70,0.0%
Aryna Sabalenka,2020 Dubai R16,W vsMertens,66.7%,59.5%,1.6%,1/0,2.46,7.1%,70.3%,53.8%,0.0%,2.18,13.0%,88.9%,68.8%,5.6%,2.79,0.0%
Aryna Sabalenka,2020 Dubai R32,W vsSakkari,75.0%,53.6%,0.0%,0/0,2.45,18.9%,79.6%,55.8%,0.0%,2.44,29.6%,89.7%,50.0%,0.0%,2.45,7.7%
Aryna Sabalenka,2020 Fed Cup RR,W vsRus,71.2%,59.5%,5.8%,1/2,2.38,8.9%,79.4%,55.6%,5.9%,2.34,13.8%,62.5%,70.0%,6.3%,2.45,0.0%
Aryna Sabalenka,2020 Fed Cup RR,L vsBertens,60.4%,28.1%,1.9%,1/0,2.50,0.0%,66.7%,22.2%,3.7%,2.46,0.0%,66.7%,35.7%,0.0%,2.59,0.0%
Aryna Sabalenka,2020 Australian Open R128,L vsSuarez Navarro,70.6%,61.1%,7.8%,5/3,2.33,21.2%,68.3%,46.5%,4.8%,2.24,34.1%,80.6%,82.8%,13.9%,2.49,0.0%
Aryna Sabalenka,2020 Adelaide SF,L vsYastremska,66.7%,40.0%,5.3%,1/3,2.83,6.5%,66.7%,30.8%,5.1%,2.70,11.5%,80.0%,50.0%,6.7%,3.01,0.0%
Aryna Sabalenka,2020 Adelaide QF,W vsHalep,74.6%,70.2%,6.3%,4/0,2.46,7.5%,71.1%,68.8%,6.7%,2.43,11.5%,93.8%,73.3%,6.3%,2.51,0.0%
Aryna Sabalenka,2020 Adelaide R16,W vsPera,61.2%,48.8%,4.5%,2/1,2.51,20.6%,66.7%,42.3%,5.1%,2.37,26.9%,75.0%,60.0%,5.0%,2.94,0.0%
Aryna Sabalenka,2020 Adelaide R32,W vsHsieh,71.9%,56.3%,3.4%,1/2,2.32,23.3%,72.1%,61.4%,0.0%,2.24,44.4%,76.9%,45.0%,11.5%,2.40,2.7%
Aryna Sabalenka,2020 Shenzhen R16,L vsPliskova,57.1%,45.0%,7.1%,4/1,2.21,22.7%,47.8%,27.3%,2.2%,1.81,38.5%,90.0%,66.7%,20.0%,2.79,0.0%
Aryna Sabalenka,2020 Shenzhen R32,W vsGasparyan,80.0%,61.4%,5.5%,3/0,2.59,17.9%,82.9%,58.6%,2.9%,2.34,28.0%,93.8%,66.7%,12.5%,3.02,0.0%
Aryna Sabalenka,2019 Zhuhai F,W vsBertens,68.4%,53.8%,1.8%,0/1,2.31,27.6%,71.4%,40.0%,0.0%,2.25,57.1%,77.8%,78.6%,5.6%,2.37,0.0%
Aryna Sabalenka,2019 Zhuhai SF,W vsMuchova,71.3%,61.4%,3.8%,2/1,2.44,21.6%,71.2%,59.5%,5.8%,2.44,25.7%,80.0%,65.0%,0.0%,2.45,12.5%
Aryna Sabalenka,2019 Zhuhai RR,W vsSakkari,63.0%,47.1%,0.0%,0/0,2.18,17.2%,69.2%,37.0%,0.0%,2.39,21.4%,70.0%,85.7%,0.0%,1.99,13.3%
Aryna Sabalenka,2019 Zhuhai RR,W vsMertens,64.7%,52.7%,4.7%,2/2,2.50,18.9%,66.7%,50.0%,1.8%,2.33,27.7%,63.0%,58.8%,11.1%,2.81,3.7%
Aryna Sabalenka,2019 Beijing R32,L vsKasatkina,70.0%,50.0%,1.3%,1/0,2.60,1.6%,76.3%,48.9%,1.7%,2.44,2.9%,68.8%,54.5%,0.0%,2.77,0.0%
Aryna Sabalenka,2019 Wuhan F,W vsRiske Amritraj,68.5%,54.0%,8.2%,1/5,2.56,3.6%,80.9%,52.6%,8.5%,2.47,9.1%,54.5%,58.3%,9.1%,2.63,0.0%
Aryna Sabalenka,2019 Wuhan SF,W vsBarty,53.0%,54.3%,3.0%,1/1,2.32,34.4%,50.0%,55.6%,2.8%,2.07,50.0%,77.3%,52.9%,4.5%,2.59,17.2%
Aryna Sabalenka,2019 Wuhan QF,W vsRybakina,66.2%,49.0%,3.9%,2/1,2.72,5.8%,70.0%,42.9%,4.0%,2.73,6.5%,80.0%,62.5%,5.0%,2.70,4.8%
Aryna Sabalenka,2019 Wuhan R16,W vsBertens,52.6%,53.3%,1.8%,1/0,2.15,34.1%,48.3%,28.6%,0.0%,2.28,65.0%,80.0%,75.0%,5.0%,2.02,4.8%
Aryna Sabalenka,2019 Wuhan R32,W vsCollins,78.7%,75.7%,4.3%,2/0,3.06,0.0%,83.3%,80.0%,3.3%,3.02,0.0%,80.0%,66.7%,6.7%,3.13,0.0%
Aryna Sabalenka,2019 Wuhan R64,W vsSasnovich,59.5%,60.0%,9.5%,2/2,2.77,20.0%,72.7%,56.3%,9.1%,2.65,33.3%,64.3%,66.7%,14.3%,2.95,0.0%
Aryna Sabalenka,2019 Zhengzhou QF,L vsMartic,73.3%,50.0%,1.7%,2/0,2.44,5.6%,71.4%,50.0%,2.4%,2.31,10.8%,87.5%,50.0%,0.0%,2.58,0.0%
Aryna Sabalenka,2019 Zhengzhou R16,W vsOstapenko,59.6%,71.4%,6.4%,1/2,2.73,0.0%,72.7%,56.3%,13.6%,2.62,0.0%,80.0%,91.7%,0.0%,2.92,0.0%
Aryna Sabalenka,2019 US Open R64,L vsPutintseva,76.2%,54.2%,3.2%,0/2,2.09,12.3%,73.7%,50.0%,5.3%,2.20,16.7%,80.0%,60.0%,0.0%,1.90,4.8%
Aryna Sabalenka,2019 US Open R128,W vsAzarenka,69.7%,59.4%,1.0%,0/1,2.82,15.4%,76.6%,57.1%,0.0%,2.78,18.8%,64.5%,65.0%,3.2%,2.94,5.9%
Aryna Sabalenka,2019 Cincinnati R16,L vsSakkari,66.0%,39.1%,7.2%,2/5,2.28,8.5%,57.9%,33.3%,5.3%,2.16,14.0%,86.1%,45.2%,11.1%,2.46,0.0%
Aryna Sabalenka,2019 Cincinnati R32,W vsZheng,80.0%,52.3%,0.0%,0/0,2.45,11.1%,77.1%,51.9%,0.0%,2.42,17.4%,89.5%,52.9%,0.0%,2.51,0.0%
Aryna Sabalenka,2019 Cincinnati R64,W vsMartic,64.3%,58.3%,0.0%,0/0,2.22,8.3%,63.3%,47.4%,0.0%,2.27,13.6%,77.3%,70.6%,0.0%,2.15,0.0%
Aryna Sabalenka,2019 Toronto  R64,L vsPavlyuchenkova,71.7%,43.9%,5.4%,3/2,3.05,10.9%,75.5%,45.0%,1.9%,2.98,12.8%,76.5%,42.3%,11.8%,3.24,5.9%
Aryna Sabalenka,2019 San Jose F,L vsZheng,68.1%,40.4%,0.0%,0/0,2.24,1.9%,70.0%,40.0%,0.0%,1.98,3.7%,85.7%,41.7%,0.0%,2.52,0.0%
Aryna Sabalenka,2019 San Jose SF,W vsVekic,74.2%,63.0%,1.6%,1/0,2.54,5.4%,81.1%,50.0%,0.0%,2.36,8.0%,84.2%,87.5%,5.3%,2.91,0.0%
Aryna Sabalenka,2019 San Jose QF,W vsSuarez Navarro,79.0%,59.4%,11.1%,7/2,2.48,14.8%,83.3%,57.5%,8.3%,2.48,26.1%,77.4%,62.5%,16.1%,2.49,6.5%
Aryna Sabalenka,2019 San Jose R16,W vsVandeweghe,72.5%,56.8%,7.8%,3/1,2.99,7.4%,76.5%,61.5%,17.6%,2.88,11.8%,88.9%,54.2%,3.7%,3.16,0.0%
Aryna Sabalenka,2019 Wimbledon R128,L vsRybarikova,65.4%,41.2%,0.0%,0/0,2.39,10.0%,55.2%,31.3%,0.0%,2.34,12.0%,90.0%,50.0%,0.0%,2.46,6.7%
Aryna Sabalenka,2019 Eastbourne QF,L vsBertens,63.3%,49.1%,0.0%,0/0,2.11,14.3%,71.2%,43.2%,0.0%,1.98,21.4%,64.5%,60.0%,0.0%,2.38,0.0%
Aryna Sabalenka,2019 Eastbourne R16,W vsWozniacki,70.6%,48.1%,1.8%,1/1,2.64,2.9%,75.0%,40.0%,0.0%,2.44,5.1%,82.1%,59.4%,5.1%,2.90,0.0%
Aryna Sabalenka,2019 Eastbourne R32,W vsZidansek,74.4%,63.8%,2.6%,1/1,2.31,6.7%,70.4%,65.8%,0.0%,2.27,0.0%,90.9%,60.0%,9.1%,2.35,12.5%
Aryna Sabalenka,2019 Birmingham R32,L vsHsieh,74.1%,38.3%,3.7%,3/0,2.52,26.2%,81.8%,35.6%,3.6%,2.37,38.5%,75.0%,46.7%,5.0%,2.79,4.5%
Aryna Sabalenka,2019 S-Hertogenbosch R32,L vsAiava,65.3%,57.6%,2.0%,2/0,2.40,19.6%,63.8%,52.3%,1.4%,2.33,28.1%,75.9%,68.2%,3.4%,2.52,5.3%
Aryna Sabalenka,2019 Roland Garros R64,L vsAnisimova,85.7%,52.1%,12.5%,4/3,2.61,2.3%,88.6%,56.4%,11.4%,2.53,0.0%,100.0%,33.3%,22.2%,2.74,5.9%
Aryna Sabalenka,2019 Roland Garros R128,W vsCibulkova,78.2%,55.8%,5.5%,3/0,2.81,17.0%,82.9%,50.0%,4.9%,2.81,22.9%,90.0%,77.8%,10.0%,2.83,0.0%
Aryna Sabalenka,2019 Strasbourg SF,L vsYastremska,70.1%,46.8%,16.4%,5/6,2.88,2.6%,75.0%,39.4%,13.6%,2.80,3.6%,66.7%,64.3%,23.8%,3.08,0.0%
Aryna Sabalenka,2019 Strasbourg QF,W vsPuig,71.3%,66.7%,6.9%,3/4,2.73,0.0%,71.6%,62.5%,6.0%,2.67,0.0%,82.8%,75.0%,10.3%,2.94,0.0%
Aryna Sabalenka,2019 Strasbourg R16,W vsSiegemund,78.2%,62.8%,1.8%,1/0,2.17,2.3%,82.4%,57.1%,2.9%,2.22,3.2%,83.3%,73.3%,0.0%,2.03,0.0%
Aryna Sabalenka,2019 Strasbourg R32,W vsZhu,86.7%,84.6%,0.0%,0/0,2.29,13.0%,95.0%,78.9%,0.0%,2.25,16.7%,87.5%,100.0%,0.0%,2.40,0.0%
Aryna Sabalenka,2019 Rome R64,L vsCornet,71.7%,48.8%,0.0%,0/0,2.36,7.7%,71.4%,46.7%,0.0%,2.46,4.8%,92.9%,53.8%,0.0%,1.94,20.0%
Aryna Sabalenka,2019 Madrid R64,L vsKuznetsova,82.7%,46.3%,4.9%,1/3,2.23,10.2%,78.6%,43.2%,1.8%,2.23,14.0%,92.0%,52.2%,12.0%,2.22,0.0%
