Player,Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
Iga Swiatek,2025 Indian Wells R32,W vsYastremska,70.0%,68.6%,2.0%,1/0,2.40,0.0%,87.5%,67.9%,0.0%,2.85,0.0%,50.0%,71.4%,7.1%,2.08,0.0%
Iga Swiatek,2025 Indian Wells R64,W vsGarcia,72.7%,78.1%,4.5%,1/1,2.17,23.1%,70.8%,82.4%,8.3%,2.34,35.3%,93.8%,73.3%,0.0%,1.86,0.0%
Iga Swiatek,2025 Dubai QF,L vsAndreeva,65.2%,44.2%,9.1%,3/3,2.58,15.7%,51.5%,52.9%,9.1%,2.59,17.5%,86.7%,38.5%,10.0%,2.53,9.1%
Iga Swiatek,2025 Doha SF,L vsOstapenko,52.1%,48.0%,22.9%,4/7,2.77,2.9%,57.7%,53.3%,23.1%,2.67,4.5%,55.6%,40.0%,27.8%,2.97,0.0%
Iga Swiatek,2025 Doha QF,W vsRybakina,72.7%,58.3%,9.1%,3/3,2.47,4.2%,69.8%,46.7%,4.7%,2.60,6.1%,85.7%,77.8%,19.0%,2.19,0.0%
Iga Swiatek,2025 Doha R32,W vsSakkari,72.9%,74.3%,0.0%,0/0,2.17,4.8%,74.2%,65.2%,0.0%,2.20,6.9%,75.0%,91.7%,0.0%,2.11,0.0%
Iga Swiatek,2025 Australian Open SF,L vsKeys,71.7%,57.9%,10.4%,4/7,2.58,5.3%,71.2%,50.0%,13.7%,2.58,7.3%,82.8%,75.0%,3.4%,2.59,0.0%
Iga Swiatek,2025 Australian Open QF,W vsNavarro,86.4%,60.8%,3.4%,0/2,2.62,2.2%,83.8%,61.3%,2.7%,2.58,4.3%,95.2%,60.0%,4.8%,2.67,0.0%
Iga Swiatek,2025 Australian Open R16,W vsLys,91.5%,62.8%,2.1%,1/0,2.43,0.0%,96.9%,64.5%,0.0%,2.28,0.0%,92.3%,58.3%,7.7%,2.73,0.0%
Iga Swiatek,2025 Australian Open R32,W vsRaducanu,83.0%,61.4%,0.0%,0/0,1.81,5.0%,83.9%,53.8%,0.0%,1.65,6.7%,100.0%,72.2%,0.0%,2.34,0.0%
Iga Swiatek,2025 Australian Open R64,W vsSramkova,65.8%,68.0%,5.3%,1/1,2.03,3.7%,73.7%,64.3%,10.5%,2.32,8.3%,73.3%,72.7%,0.0%,1.80,0.0%
Iga Swiatek,2025 Australian Open R128,W vsSiniakova,73.7%,54.8%,8.8%,3/2,2.51,17.5%,82.4%,53.6%,5.9%,2.37,26.9%,73.7%,57.1%,15.8%,2.78,0.0%
Iga Swiatek,2025 United Cup F,L vsGauff,60.4%,50.0%,7.5%,1/3,2.53,5.5%,61.8%,42.9%,2.9%,2.64,8.8%,73.3%,63.6%,20.0%,2.34,0.0%
Iga Swiatek,2025 United Cup SF,W vsRybakina,78.8%,50.7%,3.5%,1/2,2.25,2.1%,73.7%,52.4%,1.8%,2.20,3.1%,92.6%,48.0%,7.4%,2.36,0.0%
Iga Swiatek,2025 United Cup QF,W vsBoulter,75.7%,55.1%,11.7%,6/6,2.31,12.9%,80.0%,45.5%,10.9%,2.24,20.0%,81.0%,67.6%,14.3%,2.44,0.0%
Iga Swiatek,2025 United Cup RR,W vsMuchova,68.3%,60.5%,15.9%,6/4,2.67,12.3%,76.9%,56.7%,15.4%,2.66,14.6%,65.0%,69.2%,20.0%,2.70,8.3%
Iga Swiatek,2025 United Cup RR,W vsHelgo,68.1%,81.3%,6.4%,0/3,2.36,0.0%,67.9%,73.7%,7.1%,1.95,0.0%,81.3%,92.3%,6.3%,2.94,0.0%
Iga Swiatek,2024 BJK Cup SF,W vsPaolini,73.3%,51.4%,5.0%,2/3,2.48,4.1%,69.8%,45.5%,0.0%,2.43,5.9%,83.3%,60.0%,13.9%,2.61,0.0%
Iga Swiatek,2024 BJK Cup QF,W vsNoskova,64.5%,49.3%,6.5%,4/3,2.55,11.7%,70.3%,44.4%,0.0%,2.57,18.9%,64.9%,58.3%,18.9%,2.52,0.0%
Iga Swiatek,2024 BJK Cup R16,W vsBadosa,72.5%,60.8%,2.0%,0/2,2.27,5.6%,72.2%,56.4%,1.9%,1.95,7.8%,81.4%,65.7%,2.3%,3.05,0.0%
Iga Swiatek,2024 Riyadh Finals RR,W vsKrejcikova,69.8%,55.2%,6.3%,3/3,2.83,9.1%,69.6%,53.8%,7.1%,2.60,15.6%,82.4%,57.1%,5.9%,3.14,0.0%
Iga Swiatek,2024 Riyadh Finals RR,L vsGauff,57.7%,46.3%,4.2%,0/3,2.56,3.4%,67.4%,48.3%,2.3%,2.41,5.0%,70.6%,41.7%,11.8%,2.88,0.0%
Iga Swiatek,2024 Riyadh Finals RR,W vsKasatkina,68.6%,83.3%,5.7%,0/2,3.10,25.0%,75.0%,91.7%,6.3%,3.14,46.2%,75.0%,75.0%,6.3%,3.05,0.0%
Iga Swiatek,2024 US Open QF,L vsPegula,83.3%,35.6%,9.3%,3/2,2.57,4.3%,88.6%,25.8%,5.7%,2.68,5.9%,77.8%,57.1%,16.7%,2.29,0.0%
Iga Swiatek,2024 US Open R16,W vsSamsonova,74.5%,53.7%,1.8%,0/1,2.75,0.0%,72.7%,62.5%,3.0%,2.92,0.0%,89.5%,41.2%,0.0%,2.54,0.0%
Iga Swiatek,2024 US Open R32,W vsPavlyuchenkova,72.1%,61.4%,4.9%,1/2,2.38,6.7%,66.7%,63.6%,3.0%,2.50,9.5%,81.5%,59.1%,7.4%,2.08,0.0%
Iga Swiatek,2024 US Open R128,W vsRakhimova,66.2%,47.1%,1.3%,1/0,2.43,4.3%,69.6%,46.9%,2.2%,2.43,7.4%,73.1%,47.4%,0.0%,2.43,0.0%
Iga Swiatek,2024 Cincinnati SF,L vsSabalenka,66.7%,57.1%,9.5%,2/4,2.54,8.2%,60.6%,55.0%,3.0%,2.44,14.8%,75.9%,59.1%,17.2%,2.67,0.0%
Iga Swiatek,2024 Cincinnati QF,W vsAndreeva,64.2%,51.4%,3.7%,3/1,2.53,16.1%,57.6%,50.0%,6.1%,2.47,22.2%,82.1%,53.1%,0.0%,2.65,5.0%
Iga Swiatek,2024 Cincinnati R16,W vsKostyuk,75.5%,67.6%,4.1%,1/1,2.38,8.3%,80.0%,62.5%,3.3%,2.19,10.0%,81.3%,76.9%,6.3%,3.28,0.0%
Iga Swiatek,2024 Cincinnati R32,W vsGracheva,74.7%,63.2%,0.0%,0/0,2.91,3.8%,70.7%,68.3%,0.0%,2.79,7.1%,93.1%,55.6%,0.0%,3.05,0.0%
Iga Swiatek,2024 Paris Olympics BR,W vsSchmiedlova,74.4%,68.8%,0.0%,0/0,2.06,15.4%,80.8%,71.4%,0.0%,2.18,21.1%,78.6%,63.6%,0.0%,1.71,0.0%
Iga Swiatek,2024 Paris Olympics SF,L vsZheng,67.7%,59.5%,1.6%,1/0,2.75,2.3%,63.9%,56.5%,2.8%,2.66,3.2%,82.6%,63.2%,0.0%,2.99,0.0%
Iga Swiatek,2024 Paris Olympics QF,W vsCollins,73.1%,57.1%,9.0%,3/3,2.64,0.0%,67.5%,44.4%,7.5%,2.78,0.0%,88.0%,72.7%,12.0%,2.44,0.0%
Iga Swiatek,2024 Paris Olympics R16,W vsWang,76.5%,59.0%,2.0%,1/0,2.30,4.8%,75.7%,57.1%,0.0%,2.43,7.3%,78.6%,63.6%,7.1%,2.05,0.0%
Iga Swiatek,2024 Paris Olympics R32,W vsParry,75.9%,65.9%,3.4%,2/0,2.17,27.6%,73.5%,60.0%,2.9%,1.77,31.6%,95.0%,73.7%,5.0%,2.92,20.0%
Iga Swiatek,2024 Paris Olympics R64,W vsBegu,71.2%,63.8%,0.0%,0/0,2.16,2.4%,76.6%,58.3%,0.0%,1.96,4.0%,73.3%,81.8%,0.0%,2.44,0.0%
Iga Swiatek,2024 Wimbledon R32,L vsPutintseva,76.5%,41.5%,7.1%,4/2,2.44,13.8%,80.6%,40.0%,8.1%,2.33,19.4%,78.9%,46.7%,5.3%,2.64,4.5%
Iga Swiatek,2024 Wimbledon R64,W vsMartic,62.5%,57.1%,5.4%,1/2,2.08,9.1%,57.1%,45.0%,2.9%,1.73,13.0%,78.9%,73.3%,10.5%,2.85,0.0%
Iga Swiatek,2024 Wimbledon R128,W vsKenin,66.1%,56.8%,8.9%,0/5,2.58,6.9%,64.3%,55.6%,0.0%,2.84,7.7%,90.9%,60.0%,45.5%,2.37,6.3%
Iga Swiatek,2024 Roland Garros F,W vsPaolini,84.8%,66.7%,2.2%,1/0,2.19,8.8%,87.1%,70.4%,0.0%,2.31,13.6%,92.3%,58.3%,7.7%,1.98,0.0%
Iga Swiatek,2024 Roland Garros SF,W vsGauff,77.8%,55.1%,3.2%,0/2,2.23,0.0%,78.1%,40.0%,3.1%,2.12,0.0%,88.9%,70.8%,3.7%,2.41,0.0%
Iga Swiatek,2024 Roland Garros QF,W vsVondrousova,82.0%,61.0%,6.0%,2/1,2.48,37.1%,83.9%,61.5%,3.2%,2.25,54.2%,100.0%,60.0%,13.3%,2.99,0.0%
Iga Swiatek,2024 Roland Garros R16,W vsPotapova,90.3%,82.1%,6.5%,0/2,2.39,0.0%,91.7%,81.8%,0.0%,3.02,0.0%,94.4%,82.4%,11.1%,2.04,0.0%
Iga Swiatek,2024 Roland Garros R32,W vsBouzkova,84.5%,51.0%,3.4%,1/1,2.37,0.0%,86.0%,48.6%,2.3%,2.51,0.0%,100.0%,58.3%,8.3%,2.13,0.0%
Iga Swiatek,2024 Roland Garros R64,W vsOsaka,69.4%,50.7%,6.5%,6/1,2.44,2.1%,61.2%,43.9%,6.0%,2.47,1.8%,91.9%,58.8%,8.1%,2.40,2.6%
Iga Swiatek,2024 Roland Garros R128,W vsJeanjean,82.6%,63.2%,4.3%,0/2,2.37,19.2%,83.3%,60.0%,0.0%,2.22,29.4%,100.0%,66.7%,11.1%,2.64,0.0%
Iga Swiatek,2024 Rome F,W vsSabalenka,79.6%,58.1%,1.9%,1/0,2.68,7.9%,78.1%,56.0%,0.0%,2.66,15.8%,90.0%,61.1%,5.0%,2.70,0.0%
Iga Swiatek,2024 Rome SF,W vsGauff,71.1%,61.0%,0.0%,0/0,2.17,2.5%,71.7%,51.5%,0.0%,2.00,4.0%,78.8%,73.1%,0.0%,2.45,0.0%
