Tournament,Wins,Matches,Win_Rate,Control
Australian,5,6,0.833,0.677
Bad,3,4,0.75,0.523
Doha,2,3,0.667,0.567
Dubai,0,1,0.0,0.166
Indian,4,5,0.8,0.605
Madrid,2,3,0.667,0.478
Miami,3,4,0.75,0.601
Montreal,0,1,0.0,0.498
Roland,5,6,0.833,0.64
Stuttgart,0,1,0.0,0.277
United,4,5,0.8,0.686
Wimbledon,7,7,1.0,0.736
